date,year,extremum_type,sentiment_value,video_id,video_title,comments_on_date,comments_on_video,video_share_of_discussion
2023-12-01,2023,max,-0.0440278126846566,F8y71jbDolw,Ex-Ukrainian official believes this act was ‘personal revenge by Putin’,383,383,1.0
2023-12-04,2023,min,-0.0793753155230684,fn2tzBXy-sE,White House warns aid delay will 'kneecap Ukraine' on battlefield,197,197,1.0
2023-12-16,2023,max,0.0531186034959965,BoSGbClG6B0,John Dean on ‘amnesia in the West Wing’ amid missing Russia intel,848,848,1.0
2023-12-29,2023,min,-0.0544263664451204,-WJZVsAV-xY,Russia hits Ukraine with biggest air attack since full-scale invasion,327,327,1.0
2024-01-04,2024,max,-0.0133616653311791,cKpJYRF-iGY,Russia and Ukraine carry out prisoner exchange,17,17,1.0
2024-01-16,2024,min,-0.0967381068200882,dz8JrneIRag,Zelensky headlines World Economic Forum to rally support for Ukraine,321,321,1.0
2024-01-26,2024,max,0.0717172429372103,cCBJeByM6ZE,Video shows Ukrainian armored vehicle singlehandedly stopping Russian assault,480,419,0.8729166666666667
2024-01-31,2024,min,0.0239213236294328,k6iYXVvKxoI,Putin critic one step closer to Russia's presidential ballot,449,449,1.0
2024-02-08,2024,max,0.0697412847343984,2OCnNshhqZo,Wife of jailed Putin critic responds to Tucker Carlson’s interview,8211,6076,0.7399829497016198
2024-02-12,2024,min,0.023889611404549,8wGqLAEY-CM,CNN talks to foreign mercenary who escaped the Russian army,691,691,1.0
2024-02-17,2024,min,0.0497153823977958,Vt9TKfA5Ssk,Nikki Haley says Putin is ‘absolutely’ responsible for Navalny’s death,657,657,1.0
2024-02-20,2024,max,0.087970896974261,nTuRqpyMu_4,Video shows Ukraine's last moments of defense in Avdiivka,2994,2012,0.6720106880427522
2024-02-23,2024,min,0.0066733875516912,PqtqcVmB9iQ,Ex-CIA operative explains why Putin is ‘scared’ after Navalny’s death,2518,1877,0.7454328832406671
2024-02-27,2024,min,0.0066630995033371,zsBZ_WEIuJ4,Hear Russia’s warning after Macron said Western troops in Ukraine ‘cannot be ruled out’,5701,4098,0.7188212594281705
2024-03-03,2024,max,0.0513502101254618,QL9tvwcmVtk,How Ukraine aid is being used as political leverage,878,878,1.0
2024-03-07,2024,min,-0.0247923111108014,8JEa4FXLDDg,Putin's pre-election propaganda,123,123,1.0
2024-03-19,2024,max,0.0910088953772792,Qxa65O7QsrA,‘Staggering cost’: Austin blasts Putin over troop losses,851,851,1.0
2024-03-23,2024,max,0.0923843009870672,-VVcHwa7dx8,Hear Putin’s response to terror attack at Moscow concert | CNN,5919,2980,0.5034634228754857
